Assembly Accession	Assembly Name	Organism Name	Annotation Count Gene Total
GCF_964019535.1	idTriPrae1.Spiroplasma_sp_1.1	Spiroplasma endosymbiont of Tricholauxania praeusta	1670
GCF_947250565.1	iyAndHaem1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Andrena haemorrhoa	1514
GCF_964028325.1	iyHedRose1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Hedychridium roseum	1446
GCF_964030895.1	icNebBrev1.Spiroplasma_sp_1.1	Spiroplasma endosymbiont of Nebria brevicollis	1793
GCF_947251545.1	idAnoPurm1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Anomoia purmunda	1542
GCF_964031275.1	ilAcaVire1.Spiroplasma_sp_1.1	Spiroplasma endosymbiont of Acasis viretata	1663
GCF_964030815.1	iySelTumu1.Rickettsia_sp_1.1	Rickettsia endosymbiont of Seladonia tumulorum	1485
GCF_964026475.1	idNemNigr1.Tisiphia_sp_1.1	Candidatus Tisiphia endosymbiont of Nemotelus nigrinus	1402
GCF_964026805.1	icAgeAlni6.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Agelastica alni	1565
GCF_947251595.1	ilEupTrip1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Eupithecia tripunctaria	1498
GCF_964026595.1	idDioRufi1.Tisiphia_sp_1.1	Candidatus Tisiphia endosymbiont of Dioctria rufipes	1398
GCF_964019585.1	icAgrLine1.Mesenet_sp_1.1	Candidatus Mesenet endosymbiont of Agriotes lineatus	1387
GCF_964026545.1	idDioLine1.Tisiphia_sp_1.1	Candidatus Tisiphia endosymbiont of Dioctria linearis	1413
GCF_003015145.1	ASM301514v1	Candidatus Phycorickettsia trachydisci	1267
GCF_964026815.1	iyAndFulv1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Andrena fulva	1494
GCF_964026945.1	ilCheLega1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Chesias legatella	1389
GCF_964026445.1	icCanRufa1.Rickettsia_sp_1.1	Rickettsia endosymbiont of Cantharis rufa	1672
GCF_041735015.1	Iowa-C.bilis 2	Campylobacter bilis	1537
GCF_964026535.1	ikSiaLuta1.Tisiphia_sp_1.1	Candidatus Tisiphia endosymbiont of Sialis lutaria	1410
GCF_964026605.1	idPtyAlbi3.Tisiphia_sp_1.1	Candidatus Tisiphia endosymbiont of Ptychoptera albimana	1383
GCF_964027055.1	iyNomFlav1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Nomada flava	1540
GCF_964026995.1	idBraScut1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Brachyopa scutellaris	1521
GCF_964028425.1	iyRhoExst1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Rhorus exstirpatorius	1417
GCF_964028605.1	iyLasFulv3.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Lasioglossum fulvicorne	1605
GCF_964026705.1	iyNomGood2.Wolbachia_sp_2.1	Wolbachia endosymbiont (group A) of Nomada goodeniana	1410
GCF_964028245.1	icPogHisp1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Pogonocherus hispidulus	1390
GCF_006542295.1	ASM654229v1	Wolbachia endosymbiont of Carposina sasakii	1431
GCF_029981845.1	ASM2998184v1	Candidatus Bandiella numerosa	1520
GCF_016592615.1	ASM1659261v1	Isorropodon fossajaponicum endosymbiont JTNG4	1740
GCF_964026895.1	iyCepSpin2.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Cephus spinipes	1378
GCF_963966195.1	iyNomHirt1.Wolbachia_sp_2.1	Wolbachia endosymbiont (group A) of Nomada hirtipes	1472
GCF_947251555.1	iyMacEuro1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Macropis europaea	1355
GCF_947250795.1	iyNomFabr1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Nomada fabriciana	1472
GCF_918342435.1	Wolbachia_endosymbiont_of_CSFBv1	Wolbachia endosymbiont of Psylliodes chrysocephala	1486
GCF_964028445.1	iyAndTrim1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Andrena trimmerana	1410
GCF_964026955.1	iyLasVill1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Lasioglossum villosulum	1465
GCF_947251425.1	idProAzur1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Protocalliphora azurea	1442
GCF_964030655.1	idPoeNobi2.Spiroplasma_sp_1.1	Spiroplasma endosymbiont of Poecilobothrus nobilitatus	1642
GCF_964019365.1	iyOphElle1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Ophion ellenae	1479
GCF_947250765.1	idGymRotn1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Gymnosoma rotundatum	1470
GCF_964028285.1	idVilCing2.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Villa cingulata	1458
GCF_964026965.1	idVolBomb1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Volucella bombylans	1430
GCF_964264755.1	idNemUlig1.Tisiphia_sp_2.1	Candidatus Tisiphia endosymbiont of Nemotelus uliginosus	1427
GCF_900638485.1	57728_B01	Helicobacter cholecystus	1365
GCF_947251575.1	ilYpoPlub1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Yponomeuta plumbellus	1435
GCF_964263245.1	icPolForm1.Spiroplasma_sp_1.1	Spiroplasma endosymbiont of Polydrusus formosus	1531
GCF_964188425.1	ilScrOcel1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Scrobipalpa ocellatella	1358
GCF_964026755.1	iyCamRapt1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Campoletis raptor	1444
GCF_024029595.1	ASM2402959v1	Fructilactobacillus cliffordii	1464
GCF_018831625.1	ASM1883162v1	Spiroplasma endosymbiont of 'Nebria riversi'	1900
GCF_964026715.1	iyAndBuce1.Wolbachia_sp_2.1	Wolbachia endosymbiont (group A) of Andrena bucephala	1458
GCF_002355955.1	ASM235595v1	Candidatus Desulfovibrio trichonymphae	1397
GCF_018467135.1	ASM1846713v1	Wolbachia endosymbiont of Drosophila santomea	1440
GCF_947250645.1	ilEucCana1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Eucosma cana	1412
GCF_964277345.1	iyTheTumi1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Therophilus tumidulus	1487
GCF_947250575.1	idEpiBalt1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Episyrphus balteatus	1350
GCF_963969245.1	iyOphCost1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Ophion costatus	1415
GCF_964027005.1	iyOxyArmt1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Oxytorus armatus	1385
GCF_947250525.1	ilColCroc2.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Colias croceus	1302
GCF_018467115.1	ASM1846711v1	Wolbachia endosymbiont of Drosophila yakuba	1425
GCF_964027035.1	idPhaObes1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Phasia obesa	1311
GCF_964028525.1	idPorMacu1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Portevinia maculata	1358
GCF_964026835.1	ilDenPini1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Dendrolimus pini	1388
GCF_014896945.1	ASM1489694v1	Candidatus Bodocaedibacter vickermanii	1261
GCF_964277405.1	icCanCryp2.Wolbachia_sp_1.1	Wolbachia endosymbiont of Cantharis cryptica	1369
GCF_947251955.1	idCorMarg1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Coremacera marginata	1395
GCF_964028555.1	idPipVidu3.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Pipizella viduata	1363
GCF_018502505.1	ASM1850250v1	Weissella tructae	1409
GCF_947251605.1	ilEmmMono1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Emmelina monodactyla	1320
GCF_002288325.1	ASM228832v1	Candidatus Planktophila lacus	1425
GCF_964030985.1	icNotBigu1.Spiroplasma_sp_1.1	Spiroplasma endosymbiont of Notiophilus biguttatus	1685
GCF_964027095.1	idMacAtri3.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Machimus atricapillus	1345
GCF_947250015.1	idAcrOrbc1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Acrocera orbiculus	1391
GCF_964019975.1	ilMonLaev2.Spiroplasma_sp_1.1	Spiroplasma endosymbiont of Monopis laevigella	1479
GCF_008245065.1	ASM824506v1	Wolbachia endosymbiont of Chrysomya megacephala	1287
GCF_964019705.1	idPanRudi1.Spiroplasma_sp_1.1	Spiroplasma endosymbiont of Panzeria rudis	1528
GCF_042182995.1	MDX_Wolbachia_wAnu_v1	Wolbachia endosymbiont of Anurida maritima	1471
GCF_964020025.1	idTipUnca1.Cardinium_sp_1.1	Cardinium endosymbiont of Tipula unca	1361
GCF_947250675.1	ilXesCnig1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Xestia c-nigrum	1310
GCF_947251635.1	ihIcePurc2.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Icerya purchasi	1460
GCF_964026985.1	iyIscInqu1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Ischnus inquisitorius	1423
GCF_012276695.1	ASM1227669v1	Candidatus Pelagibacter giovannonii	1496
GCF_002288185.1	ASM228818v1	Candidatus Planktophila vernalis	1417
GCF_002287965.1	ASM228796v1	Candidatus Planktophila dulcis	1414
GCF_964026735.1	idNerComm1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group E) of Neria commutata	1442
GCF_002156965.1	ASM215696v1	Candidatus Nitrosomarinus catalina	1718
GCF_964031035.1	idEmpTess3.Tisiphia_sp_1.1	Candidatus Tisiphia endosymbiont of Empis tessellata	1423
GCF_020995475.1	ASM2099547v1	Wolbachia endosymbiont of Corcyra cephalonica	1340
GCF_964264765.1	idOpoGerm2.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Opomyza germinationis	1366
GCF_947251645.1	idBibMarc1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Bibio marci	1457
GCF_947250735.1	idSphTaen1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Sphaerophoria taeniata	1345
GCF_947251565.1	ilPheGnom1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Pheosia gnoma	1361
GCF_964028465.1	iyAleLepo1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Aleiodes leptofemur	1440
GCF_964028265.1	iyGasPulc2.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Gastracanthus pulcherrimus	1408
GCF_947251845.1	iyAthCord1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Athalia cordata	1262
GCF_947251795.1	iyAnoNige1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Anoplius nigerrimus	1470
GCF_002288065.1	ASM228806v1	Candidatus Planktophila sulfonica	1388
GCF_007989425.1	ASM798942v1	Rickettsia asiatica	1722
GCF_964031155.1	icDroQuad1.Spiroplasma_sp_1.1	Spiroplasma endosymbiont of Dromius quadrimaculatus	1487
GCF_964027015.1	idConQuad1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Conops quadrifasciatus	1380
GCF_964027025.1	ilApoCapr1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Apotomis capreana	1354
GCF_018141665.1	ASM1814166v1	Wolbachia endosymbiont of Spodoptera picta	1275
GCF_964028505.1	iyAllPice1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Alloplasta piceator	1342
GCF_964028225.1	ilUdeFerr1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Udea ferrugalis	1251
GCF_947250725.1	ilParAegt1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Pararge aegeria	1252
GCF_964019715.1	idLonLute3.Spiroplasma_sp_1.1	Spiroplasma endosymbiont of Lonchoptera lutea	1514
GCF_947251725.1	iyTipFemo1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Tiphia femorata	1415
GCF_947251805.1	ilCelArgi3.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Celastrina argiolus	1249
GCF_002288365.1	ASM228836v1	Candidatus Planktophila limnetica	1393
GCF_964028305.1	iyPhiTria1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Philanthus triangulum	1316
GCF_002288145.1	ASM228814v1	Candidatus Planktophila versatilis	1386
GCF_964028595.1	ilFalLace1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Falcaria lacertinaria	1271
GCF_964026915.1	idEriAene1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Eristalinus aeneus	1362
GCF_023559125.1	ASM2355912v1	Wolbachia endosymbiont of Ostrinia furnacalis	1277
GCF_023559145.1	ASM2355914v1	Wolbachia endosymbiont of Ostrinia scapulalis	1284
GCF_964264785.1	idTipPalu1.Spiroplasma_sp_1.1	Spiroplasma endosymbiont of Tipula paludosa	1575
GCF_964031085.1	icAsaCurt1.Spiroplasma_sp_1.1	Spiroplasma endosymbiont of Asaphidion curtum	1570
GCF_947251875.1	ilLycPhla1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Lycaena phlaeas	1239
GCF_964264975.1	ihNeoLine5.Tisiphia_sp_1.1	Candidatus Tisiphia endosymbiont of Neophilaenus lineatus	1527
GCF_964020175.1	icSilAtra2.Mesenet_sp_1.1	Candidatus Mesenet endosymbiont of Phosphuga atrata	1257
GCF_026015925.1	ASM2601592v1	Wolbachia endosymbiont of Drosophila pseudotakahashii	1371
GCF_947251975.1	ilHylFasc1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Hylaea fasciaria	1258
GCF_947251945.1	iyLasLatv2.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Lasioglossum lativentre	1344
GCF_964277465.1	iyNomRufp1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Nomada rufipes	1352
GCF_964277395.1	icAblLaev2.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Ablattaria laevigata	1220
GCF_964020065.1	iyLasMala1.Spiroplasma_sp_1.1	Spiroplasma endosymbiont of Lasioglossum malachurum	1415
GCF_947251695.1	iyEctCont1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Ectemnius continuus	1340
GCF_964027105.1	iyNomFerr1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Nomada ferruginata	1328
GCF_947251675.1	idMerWest1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Merzomyia westermanni	1353
GCF_964028585.1	ilXanDesi1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Xanthorhoe designata	1287
GCF_964028275.1	ilAlcRepa2.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Alcis repandata	1225
GCF_021378375.1	ASM2137837v1	Wolbachia endosymbiont of Drosophila innubila	1436
GCF_947251665.1	iyTryClav1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Trypoxylon clavicerum	1378
GCF_947251505.1	ilThySylv1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Thymelicus sylvestris	1233
GCF_964273365.1	iyMelHaem1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Melitta haemorrhoidalis	1302
GCF_032849005.1	ASM3284900v1	Wolbachia endosymbiont of Zaprionus tsacasi	1332
GCF_017869285.1	ASM1786928v1	Wolbachia endosymbiont of Wiebesia pumilae	1356
GCF_947250695.1	idEupLati1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Eupeodes latifasciatus	1213
GCF_947251515.1	idSicFerr1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Sicus ferrugineus	1301
GCF_004795975.1	ASM479597v1	Wolbachia endosymbiont of Drosophila mauritiana	1200
GCF_947250505.1	ilPhaBuce1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Phalera bucephala	1305
GCF_042928915.1	Wolbachia	Wolbachia endosymbiont of Liriomyza huidobrensis	1317
GCF_964277365.1	iyApoUnic1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Aporus unicolor	1265
GCF_947251655.1	ilPheTrem1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Pheosia tremula	1193
GCF_017896245.1	ASM1789624v1	Wolbachia endosymbiont of Aedes aegypti	1340
GCF_964028545.1	ilAgrInqu1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Agriphila inquinatella	1204
GCF_947251495.1	ilPamFasc1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Pammene fasciana	1197
GCF_947250785.1	iyAncNigr1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Ancistrocerus nigricornis	1306
GCF_964028495.1	ilCydAmpl1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Cydia amplana	1255
GCF_964028455.1	ilAgrPuta1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Agrotis puta	1192
GCF_964026725.1	idGerAngu1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Germaria angustata	1224
GCF_964028205.1	ilXylAreo1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Xylocampa areola	1225
GCF_964026765.1	iyChaSisp2.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Chalcis sispes	1264
GCF_964027115.1	idMyoTest1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Myopa testacea	1256
GCF_964028485.1	iyParGnat1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Paraperithous gnathaulax	1331
GCF_000829315.1	ASM82931v1	Wolbachia endosymbiont of Cimex lectularius	1271
GCF_032848195.1	ASM3284819v1	Wolbachia endosymbiont of Drosophila aff. chauvacae BK-2020	1321
GCF_964026745.1	ilCydStro3.Wolbachia_sp_2.1	Wolbachia endosymbiont (group A) of Cydia strobilella	1273
GCF_964019485.1	icAgrLine1.Spiroplasma_sp_1.1	Spiroplasma endosymbiont of Agriotes lineatus	1600
GCF_964019665.1	icCanRufa1.Spiroplasma_sp_1.1	Spiroplasma endosymbiont of Cantharis rufa	1093
GCF_039540065.1	ASM3954006v1	Wolbachia endosymbiont of Encarsia formosa	1335
GCF_002287885.2	ASM228788v2	Candidatus Nanopelagicus limnes	1275
GCF_964019925.1	icCanNigr2.Spiroplasma_sp_1.1	Spiroplasma endosymbiont of Cantharis nigra	1100
GCF_024299005.1	ASM2429900v1	Neoehrlichia mikurensis	983
GCF_000812185.1	ASM81218v1	Candidatus Nitrosopelagicus brevis	1506
GCF_018491735.2	ASM1849173v2	Wolbachia endosymbiont of Anopheles demeilloni	1327
GCF_964030865.1	idDioLine1.Spiroplasma_sp_1.1	Spiroplasma endosymbiont of Dioctria linearis	1089
GCF_964263235.1	idLimTigr1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Limnophora tigrina	1216
GCF_904848675.1	Pt_Alt_01	Candidatus Profftia tarda	693
GCF_002288005.1	ASM228800v1	Candidatus Nanopelagicus hibericus	1279
GCF_964028175.1	iyNomFuca1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Nomada fucata	1230
GCF_964026905.1	ilEnnEroa1.Wolbachia_sp_3.1	Wolbachia endosymbiont (group B) of Ennomos erosarius	1284
GCF_964028125.1	idPhaObes1.Wolbachia_sp_2.1	Wolbachia endosymbiont (group A) of Phasia obesa	1199
GCF_964031045.1	icAspAene1.Spiroplasma_sp_1.1	Spiroplasma endosymbiont of Aspidapion aeneum	1067
GCF_020541265.1	ASM2054126v1	Candidatus Profftia lariciata	628
GCF_012277315.1	ASM1227731v1	Wolbachia endosymbiont of Ctenocephalides felis wCfeJ	1182
GCF_947251475.1	ilEpiAlte1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Epirrhoe alternata	1207
GCF_024804185.1	ASM2480418v1	Wolbachia endosymbiont of Aedes albopictus	1280
GCF_964028565.1	iyTroLine1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Tromatobia lineatoria	1250
GCF_013342985.1	ASM1334298v1	Candidatus Ruthia endofausta	1360
GCF_020541305.1	ASM2054130v1	Candidatus Vallotia cooleyia	890
GCF_964028115.1	iyAntPlum1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Anthophora plumipes	1177
GCF_002288305.1	ASM228830v1	Candidatus Nanopelagicus abundans	1214
GCF_002688585.1	ASM268858v1	Candidatus Fonsibacter ubiquis	1268
GCF_964277355.1	iyNomRufp1.Spiroplasma_sp_1.1	Spiroplasma endosymbiont of Nomada rufipes	1272
GCF_947251485.1	iyScaNigr1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Scambus nigricans	1297
GCF_964275155.1	icCurGlan1.Curculioniphilus_sp_1.1	Candidatus Curculioniphilus buchneri endosymbiont of Curculio glandium	701
GCF_936981045.1	CaOegib_v1.0	Cardinium endosymbiont of Oedothorax gibbosus	1102
GCF_034359465.1	ASM3435946v1	Candidatus Bandiella woodruffii	1521
GCF_021057185.1	ASM2105718v1	Candidatus Absconditicoccus praedator	1076
GCF_910593725.1	Mv_alt_compl	Candidatus Vallotia tarda	825
GCF_964019755.1	icPolCerv1.Spiroplasma_sp_1.1	Spiroplasma endosymbiont of Polydrusus cervinus	1410
GCF_000513475.1	Bbla	Candidatus Babela massiliensis	1025
GCF_964030835.1	idNepFlae1.Spiroplasma_sp_1.1	Spiroplasma endosymbiont of Nephrotoma flavescens	1277
GCF_003351905.1	ASM335190v1	Cardinium endosymbiont of Sogatella furcifera	965
GCF_964019525.1	idEupLuni2.Spiroplasma_sp_1.1	Spiroplasma endosymbiont of Eupeodes luniger	1301
GCF_964030745.1	icPhiSpin1.Cardinium_sp_1.1	Cardinium endosymbiont of Philonthus spinipes	931
GCF_025273655.1	ASM2527365v1	Candidatus Mycosynbacter amalyticus	1175
GCF_900698925.1	ErCicurvipes_v1.0	Candidatus Erwinia haradaeae	676
GCF_012030695.1	ASM1203069v1	Wolbachia endosymbiont of Brugia pahangi	1100
GCF_964020005.1	idAthIbis2.Spiroplasma_sp_1.1	Spiroplasma endosymbiont of Atherix ibis	1158
GCF_020541325.1	ASM2054132v1	Candidatus Vallotia lariciata	788
GCF_030718845.1	ASM3071884v1	Mycoplasma seminis	905
GCF_964019765.1	ijPanGerm4.Spiroplasma_sp_1.1	Spiroplasma endosymbiont of Panorpa germanica	956
GCF_964030685.1	idDilFebr1.Spiroplasma_sp_1.1	Spiroplasma endosymbiont of Dilophus febrilis	1128
GCF_000010405.1	ASM1040v1	Candidatus Vesicomyosocius okutanii	993
GCF_018107685.1	ASM1810768v1	Coxiella endosymbiont of Amblyomma nuttalli	730
GCF_964019845.1	igLabMino1.Spiroplasma_sp_1.1	Spiroplasma endosymbiont of Labia minor	997
GCF_964019625.1	iyDipLaet1.Spiroplasma_sp_1.1	Spiroplasma endosymbiont of Diplazon laetatorius	950
GCF_009617975.1	ASM961797v1	Candidatus Nanohalobium constans	1231
GCF_002214165.1	ASM221416v1	Candidatus Mancarchaeum acidiphilum	1019
GCF_027925085.1	ASM2792508v1	Candidatus Borrelia fainii	1140
GCF_900048035.1	GEFVIR	Candidatus Gullanella endobia	533
GCF_023035795.1	ASM2303579v1	Borrelia nietonii YOR	1650
GCF_964026495.1	idOrnChlo1.Arsenophonus_sp_1.1	Arsenophonus symbiont of Ornithomya chloropus	695
GCF_013365455.1	ASM1336545v1	Wolbachia endosymbiont of Dirofilaria (Dirofilaria) immitis	738
GCF_030439705.1	ASM3043970v1	Borreliella tanukii	970
GCF_030438115.1	ASM3043811v1	Borreliella japonica	976
GCF_964026585.1	tzWatSuba1.Endowatersipora_sp_1.1	Candidatus Endowatersipora endosymbiont of Watersipora subatra	823
GCF_030445085.1	ASM3044508v1	Borreliella americana	958
GCF_030438475.1	ASM3043847v1	Borreliella californiensis	958
GCF_030438365.1	ASM3043836v1	Borreliella finlandensis	965
GCF_030440315.2	ASM3044031v2	Borreliella carolinensis	958
GCF_907164955.1	CLEDm	Coxiella endosymbiont of Dermacentor marginatus	705
GCF_000304455.1	CCh_cEper1	Cardinium endosymbiont cEper1 of Encarsia pergandiella	840
GCF_030253535.1	ASM3025353v1	Candidatus Southlakia epibionticum	902
GCF_013365475.1	ASM1336547v1	Wolbachia endosymbiont of Cruorifilaria tuberocauda	705
GCF_013365495.1	ASM1336549v1	Wolbachia endosymbiont of Dipetalonema caudispina	667
GCF_003072485.1	ASM307248v1	Candidatus Fokinia solitaria	740
GCF_964277425.1	idLipCerv2.Arsenophonus_sp_1.1	Arsenophonus endosymbiont of Lipoptena cervi	677
GCF_001534665.1	ASM153466v1	Candidatus Arsenophonus lipoptenae	676
GCF_900039485.1	DEMHIR	Candidatus Doolittlea endobia	651
GCF_021654655.1	ASM2165465v1	Candidatus Hydrogenosomobacter endosymbioticus	761
GCF_964019505.1	icOthPunc1.Spiroplasma_sp_1.1	Spiroplasma endosymbiont of Othius punctulatus	775
GCF_045160055.1	ASM4516005v1	Metamycoplasma faucium	733
GCF_042465095.1	MDX_Spiroplasma_sAnu_v1	Spiroplasma endosymbiont of Anurida maritima	759
GCF_023585725.1	ASM2358572v1	Candidatus Blochmanniella camponoti	663
GCF_023585785.1	ASM2358578v1	Blochmannia endosymbiont of Camponotus modoc	663
GCF_009827135.1	ASM982713v1	Blochmannia endosymbiont of Camponotus nipponensis	656
GCF_005697565.1	ASM569756v1	Candidatus Nanosynbacter featherlites	817
GCF_023586525.1	ASM2358652v1	Candidatus Blochmannia vicinus	661
GCF_000973545.1	ASM97354v1	Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus	646
GCF_018024475.1	ASM1802447v1	Candidatus Phytoplasma luffae	778
GCF_026821955.1	ASM2682195v1	Candidatus Phytoplasma rubi	818
GCF_964026685.1	PrHaacuecueyetzin_TABTEA_v1.0	Candidatus Providencia siddallii	654
GCF_000973505.1	ASM97350v1	Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri	638
GCF_023585745.1	ASM2358574v1	Candidatus Blochmannia ocreatus	645
GCF_003072465.1	ASM307246v1	Candidatus Kinetoplastibacterium sorsogonicusi	721
GCF_014857065.1	ASM1485706v1	Blochmannia endosymbiont of Colobopsis nipponica	652
GCF_000828815.1	ASM82881v1	Candidatus Tachikawaea gelatinosa	665
GCF_018866205.1	ASM1886620v1	Candidatus Minimicrobia vallesae	1029
GCF_964020035.1	icCriAspa1.Spiroplasma_sp_1.1	Spiroplasma endosymbiont of Crioceris asparagi	668
GCF_000828855.1	ASM82885v1	Metamycoplasma canadense	587
GCF_036352135.1	ASM3635213v1	Metamycoplasma gateae	627
GCF_900343015.1	ARADv1	Arsenophonus endosymbiont of Aleurodicus dispersus	502
GCF_000582535.1	ASM58253v1	Candidatus Hepatoplasma crinochetorum Av	618
GCF_002850495.1	ASM285049v1	Coxiella-like endosymbiont of Amblyomma americanum	614
GCF_000815025.1	ASM81502v1	Coxiella endosymbiont of Amblyomma americanum	614
GCF_900044015.1	HETPER1	Candidatus Hoaglandella endobia	577
GCF_009883795.1	ASM988379v1	Coxiella endosymbiont of Amblyomma sculptum	580
GCF_951805245.1	peDipJapo1.Cytomitobacter_primus_1.1	Candidatus Cytomitobacter primus	565
GCF_003268615.1	ASM326861v1	Blattabacterium clevelandi	604
GCF_960610765.1	peDipJapo1.Nesciobacter_abundans_1.1	Candidatus Nesciobacter abundans	544
GCF_038024965.1	ASM3802496v1	Candidatus Phytoplasma fraxini	585
